model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,1,36,tanh,0.001,mean_absolute_error at,216,72,276.1,4.508,1.102,0.01928
LSTM,1,72,tanh,0.001,mean_absolute_error at,288,72,330.3,4.443,1.108,0.01864
LSTM,1,36,tanh,0.001,mean_absolute_error at,288,72,315.5,3.652,1.192,0.02017
LSTM,1,56,tanh,0.0001,mean_absolute_error at,700,36,1162.7,4.420,1.116,0.01790
LSTM,1,144,tanh,0.001,mean_absolute_error at,288,72,402.2,3.424,1.107,0.01787
LSTM,1,144,tanh,0.01,mean_absolute_error at,288,72,417.5,4.161,1.185,0.01997
LSTM,1,4,tanh,0.0001,mean_absolute_error at,600,36,917.5,3.404,1.123,0.01943
LSTM,1,144,relu,0.0001,mean_absolute_error at,288,144,304.7,3.054,1.148,0.01834
LSTM,1,144,tanh,0.001,mean_absolute_error at,288,72,433.3,4.598,1.162,0.02025
LSTM,2,288,relu,0.01,logcosh at,288,36,2920.4,2.028,1.818,0.03684
LSTM,1,16,tanh,0.0001,mean_absolute_error at,600,36,913.8,3.690,1.107,0.01769
LSTM,1,144,tanh,0.001,mean_absolute_error at,288,72,419.3,4.610,1.155,0.01925
LSTM,1,144,tanh,0.001,mean_squared_error at,288,72,444.9,4.683,1.257,0.02654
LSTM,2,144,tanh,1e-05,logcosh at,288,72,758.1,5.318,1.199,0.02297
LSTM,2,36,relu,1e-05,mean_absolute_error at,216,288,191.6,31.141,33.027,0.05600
LSTM,1,144,relu,0.01,mean_absolute_error at,288,72,489.1,1.767,1.202,0.02267
LSTM,2,36,relu,0.0001,mean_absolute_error at,288,288,251.0,5.553,1.351,0.02021
LSTM,1,16,tanh,0.0001,mean_absolute_error at,800,36,1229.1,3.662,1.123,0.01822
LSTM,1,144,relu,0.01,mean_absolute_error at,288,144,323.4,2.767,1.138,0.01929
LSTM,1,48,tanh,0.0001,mean_absolute_error at,100,36,194.7,4.450,1.169,0.01821
LSTM,2,36,tanh,0.01,logcosh at,216,36,614.4,1.895,1.567,0.03332
LSTM,1,144,relu,0.01,mean_squared_error at,288,72,451.8,1.808,1.107,0.02068
LSTM,2,72,relu,0.001,mean_squared_error at,144,72,347.1,4.767,1.327,0.02742
LSTM,2,36,sigmoid,0.0001,mean_squared_error at,288,144,291.0,4.943,1.131,0.02043
LSTM,1,144,relu,0.01,mean_squared_error at,288,72,505.7,6.172,1.780,0.02751
LSTM,1,48,tanh,0.0001,mean_absolute_error at,800,36,1317.0,3.805,1.133,0.01835
LSTM,1,288,relu,0.01,mean_squared_error at,288,72,760.7,4.725,1.256,0.01951
LSTM,2,72,sigmoid,0.01,mean_absolute_error at,288,36,980.2,3.091,1.225,0.02222
LSTM,1,144,relu,0.0001,mean_squared_error at,288,144,335.8,2.729,1.259,0.02183
LSTM,2,144,sigmoid,0.01,mean_squared_error at,144,288,228.7,3.878,1.494,0.03815
LSTM,2,144,relu,0.01,mean_absolute_error at,144,288,253.5,1.670,1.172,0.01876
