model,neurons,activation,optimizer_lr,loss,epochs,batch_size,RMSE,Sequential_RMSE,model_run_time
LSTM,9,tanh,0.0001,mean_squared_error at,144,18,7.820,1.899,168.3
LSTM,9,tanh,0.01,mean_absolute_error at,72,18,15.225,7.973,86.1
LSTM,9,tanh,0.001,mean_squared_error at,144,18,6.974,4.918,170.2
LSTM,18,sigmoid,0.0001,mean_absolute_error at,72,18,7.415,0.786,86.7
LSTM,9,sigmoid,0.01,logcosh at,144,18,7.055,1.780,171.8
LSTM,18,tanh,0.0001,logcosh at,72,72,10.935,2.344,24.4
LSTM,9,sigmoid,0.0001,logcosh at,144,72,56.892,10.392,46.0
LSTM,18,relu,0.001,mean_squared_error at,72,18,14.532,2.833,87.0
LSTM,9,tanh,0.001,logcosh at,144,18,7.688,2.558,173.6
LSTM,9,relu,0.0001,logcosh at,72,18,9.941,3.188,89.4
LSTM,18,tanh,0.001,logcosh at,144,18,7.710,1.203,175.3
LSTM,18,sigmoid,0.0001,mean_absolute_error at,72,72,70.584,5.776,25.6
LSTM,18,sigmoid,0.001,mean_absolute_error at,144,18,4.899,1.426,174.4
LSTM,18,sigmoid,0.001,mean_absolute_error at,144,18,8.253,5.333,175.1
LSTM,18,sigmoid,0.001,logcosh at,72,18,10.818,0.764,91.0
LSTM,18,tanh,0.001,mean_absolute_error at,144,18,8.154,0.970,176.4
LSTM,18,tanh,0.001,logcosh at,144,18,9.118,3.261,178.5
LSTM,18,tanh,0.001,mean_absolute_error at,144,18,6.683,1.494,175.2
LSTM,18,tanh,0.001,logcosh at,144,9,8.737,2.240,349.3
LSTM,18,tanh,0.001,logcosh at,144,18,13.566,4.836,178.5
LSTM,18,tanh,0.001,mean_absolute_error at,144,18,8.257,1.509,177.2
LSTM,18,tanh,0.001,mean_absolute_error at,144,18,7.352,1.071,177.7
LSTM,18,tanh,0.001,mean_absolute_error at,144,72,6.115,1.269,48.9
LSTM,18,relu,0.001,logcosh at,144,9,19.189,7.483,354.9
LSTM,288,tanh,0.0001,mean_absolute_error at,144,36,6.761,1.113,324.3
LSTM,288,tanh,0.0001,mean_absolute_error at,144,36,8.266,0.939,323.7
LSTM,288,tanh,0.0001,mean_absolute_error at,144,36,7.370,0.996,320.9
LSTM,144,tanh,0.0001,mean_absolute_error at,144,36,10.006,0.747,100.5
LSTM,144,tanh,1e-05,mean_absolute_error at,144,72,7.007,0.856,73.9
LSTM,576,tanh,1e-05,mean_absolute_error at,144,18,8.449,0.801,1935.9
LSTM,288,tanh,1e-05,mean_absolute_error at,144,72,6.999,0.801,210.8
LSTM,288,tanh,0.0001,mean_absolute_error at,144,72,7.730,0.780,209.2
LSTM,576,tanh,0.0001,mean_absolute_error at,144,18,6.240,0.840,1995.7
LSTM,144,tanh,0.0001,mean_absolute_error at,144,72,6.971,0.736,68.1
LSTM,576,tanh,1e-05,mean_absolute_error at,144,72,7.335,0.719,734.3
LSTM,576,tanh,1e-06,mean_absolute_error at,144,18,42.664,2.995,1868.8
LSTM,288,tanh,1e-06,mean_absolute_error at,144,18,93.852,7.064,422.3
LSTM,144,tanh,1e-06,mean_absolute_error at,144,36,134.983,13.307,104.1


